Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,"Last Trade"
"3,255.00",+1.51%,82.55,83.50,84.45,80.15,-11.70,-12.74%,88,108,0.81,23.13%,Call,02/09/21
"3,260.00",+1.36%,79.25,80.20,81.15,79.96,-13.54,-14.48%,82,212,0.39,24.63%,Call,02/09/21
"3,265.00",+1.21%,76.05,76.90,77.75,73.65,-11.55,-13.56%,33,178,0.19,23.07%,Call,02/09/21
"3,270.00",+1.06%,72.80,73.70,74.60,71.40,-12.85,-15.25%,87,460,0.19,23.47%,Call,02/09/21
"3,275.00",+0.91%,69.75,70.63,71.50,68.50,-14.85,-17.82%,156,181,0.86,23.51%,Call,02/09/21
"3,280.00",+0.76%,66.80,67.73,68.65,65.00,-15.80,-19.55%,29,415,0.07,23.24%,Call,02/09/21
"3,285.00",+0.61%,63.95,64.75,65.55,62.50,-16.12,-20.50%,22,235,0.09,23.40%,Call,02/09/21
"3,290.00",+0.45%,61.15,62.00,62.85,60.78,-14.22,-18.96%,145,217,0.67,23.88%,Call,02/09/21
"3,295.00",+0.30%,58.45,59.30,60.15,59.55,-11.60,-16.30%,91,254,0.36,24.54%,Call,02/09/21
"3,300.00",+0.15%,56.00,56.65,57.30,56.51,-12.49,-18.10%,"2,556","8,145",0.31,24.34%,Call,02/09/21
"3,305.00",unch,53.30,54.10,54.90,54.00,-11.39,-17.42%,196,617,0.32,24.35%,Call,02/09/21
"3,310.00",-0.15%,50.85,51.63,52.40,49.45,-14.45,-22.61%,477,629,0.76,23.38%,Call,02/09/21
"3,315.00",-0.30%,48.50,49.25,50.00,47.07,-14.43,-23.46%,336,278,1.21,23.38%,Call,02/09/21
"3,320.00",-0.45%,46.20,46.95,47.70,46.80,-11.47,-19.68%,552,"2,652",0.21,24.31%,Call,02/09/21
"3,325.00",-0.61%,44.05,44.75,45.45,43.60,-12.40,-22.14%,408,742,0.55,23.86%,Call,02/09/21
"3,330.00",-0.76%,41.95,42.63,43.30,41.25,-12.40,-23.11%,386,434,0.89,23.76%,Call,02/09/21
"3,335.00",-0.91%,39.95,40.58,41.20,39.90,-11.95,-23.05%,245,155,1.58,24.10%,Call,02/09/21
"3,340.00",-1.06%,38.00,38.63,39.25,37.45,-12.08,-24.39%,675,469,1.44,23.89%,Call,02/09/21
"3,345.00",-1.21%,36.10,36.73,37.35,35.20,-11.80,-25.11%,121,295,0.41,23.73%,Call,02/09/21
"3,350.00",-1.36%,34.35,34.95,35.55,34.70,-9.87,-22.14%,627,"2,055",0.31,24.38%,Call,02/09/21
"3,255.00",-1.51%,31.40,31.93,32.45,34.00,-0.40,-1.16%,41,252,0.16,25.89%,Put,02/09/21
"3,260.00",-1.36%,33.10,33.63,34.15,34.42,1.57,+4.78%,115,304,0.38,25.18%,Put,02/09/21
"3,265.00",-1.21%,34.90,35.43,35.95,35.40,-3.05,-7.93%,119,156,0.76,24.74%,Put,02/09/21
"3,270.00",-1.06%,36.75,37.30,37.85,39.10,3.00,+8.31%,132,347,0.38,25.56%,Put,02/09/21
"3,275.00",-0.91%,38.65,39.22,39.80,41.95,4.45,+11.87%,186,544,0.34,25.94%,Put,02/09/21
"3,280.00",-0.76%,40.70,41.25,41.80,43.25,4.64,+12.02%,253,263,0.96,25.55%,Put,02/09/21
"3,285.00",-0.61%,42.80,43.35,43.90,45.45,4.15,+10.05%,95,314,0.30,25.55%,Put,02/09/21
"3,290.00",-0.45%,45.00,45.58,46.15,48.05,5.05,+11.74%,243,488,0.50,25.70%,Put,02/09/21
"3,295.00",-0.30%,47.20,47.83,48.45,50.85,5.90,+13.13%,142,371,0.38,25.91%,Put,02/09/21
"3,300.00",-0.15%,49.50,50.18,50.85,50.00,3.00,+6.38%,738,"1,886",0.39,24.41%,Put,02/09/21
"3,305.00",unch,51.95,52.63,53.30,54.30,5.80,+11.96%,143,200,0.72,25.24%,Put,02/09/21
"3,310.00",+0.15%,54.50,55.20,55.90,54.50,3.65,+7.18%,179,354,0.51,24.16%,Put,02/09/21
"3,315.00",+0.30%,56.80,57.68,58.55,61.15,7.23,+13.41%,165,165,1.00,26.01%,Put,02/09/21
"3,320.00",+0.45%,59.75,60.50,61.25,62.85,7.85,+14.27%,432,"2,032",0.21,25.55%,Put,02/09/21
"3,325.00",+0.61%,62.55,63.30,64.05,61.20,2.60,+4.44%,249,222,1.12,23.51%,Put,02/09/21
"3,330.00",+0.76%,65.15,66.05,66.95,65.17,3.97,+6.49%,101,182,0.55,24.02%,Put,02/09/21
"3,335.00",+0.91%,68.35,69.15,69.95,71.75,8.05,+12.64%,74,154,0.48,25.72%,Put,02/09/21
"3,340.00",+1.06%,71.40,72.20,73.00,71.25,5.25,+7.95%,66,392,0.17,24.09%,Put,02/09/21
"3,345.00",+1.21%,74.45,75.33,76.20,71.80,1.75,+2.50%,24,95,0.25,22.89%,Put,02/09/21
"3,350.00",+1.36%,77.65,78.58,79.50,81.20,9.45,+13.17%,90,605,0.15,25.88%,Put,02/09/21
